start_station_name,date,num_trips
Harry Bridges Plaza (Ferry Building),1/8/2015,60
Harry Bridges Plaza (Ferry Building),12/6/2014,20
Harry Bridges Plaza (Ferry Building),11/30/2015,52
Harry Bridges Plaza (Ferry Building),12/5/2015,16
Harry Bridges Plaza (Ferry Building),8/18/2016,68
Harry Bridges Plaza (Ferry Building),5/8/2014,47
Harry Bridges Plaza (Ferry Building),10/6/2014,44
Harry Bridges Plaza (Ferry Building),12/12/2015,14
Harry Bridges Plaza (Ferry Building),9/5/2013,37
Harry Bridges Plaza (Ferry Building),9/23/2013,45
Harry Bridges Plaza (Ferry Building),2/28/2014,27
Harry Bridges Plaza (Ferry Building),8/31/2015,59
Harry Bridges Plaza (Ferry Building),3/16/2015,66
Harry Bridges Plaza (Ferry Building),3/10/2015,53
Harry Bridges Plaza (Ferry Building),2/19/2015,45
Harry Bridges Plaza (Ferry Building),2/13/2015,65
Harry Bridges Plaza (Ferry Building),1/14/2015,58
Harry Bridges Plaza (Ferry Building),11/5/2015,66
Harry Bridges Plaza (Ferry Building),11/6/2015,60
Harry Bridges Plaza (Ferry Building),11/12/2015,71
Harry Bridges Plaza (Ferry Building),11/18/2015,62
Harry Bridges Plaza (Ferry Building),3/16/2016,56
Harry Bridges Plaza (Ferry Building),7/17/2014,46
Harry Bridges Plaza (Ferry Building),4/28/2014,57
Harry Bridges Plaza (Ferry Building),6/30/2015,64
Harry Bridges Plaza (Ferry Building),10/22/2014,60
Harry Bridges Plaza (Ferry Building),10/12/2015,60
Harry Bridges Plaza (Ferry Building),10/20/2015,79
Harry Bridges Plaza (Ferry Building),11/3/2015,53
Harry Bridges Plaza (Ferry Building),12/9/2015,46
Harry Bridges Plaza (Ferry Building),1/12/2016,54
Harry Bridges Plaza (Ferry Building),1/20/2016,56
Harry Bridges Plaza (Ferry Building),4/25/2016,60
Harry Bridges Plaza (Ferry Building),1/3/2014,41
Harry Bridges Plaza (Ferry Building),8/15/2015,14
Harry Bridges Plaza (Ferry Building),6/12/2015,58
Harry Bridges Plaza (Ferry Building),2/6/2015,30
Harry Bridges Plaza (Ferry Building),1/23/2015,56
Harry Bridges Plaza (Ferry Building),10/13/2014,40
Harry Bridges Plaza (Ferry Building),9/25/2015,46
Harry Bridges Plaza (Ferry Building),6/29/2016,51
Harry Bridges Plaza (Ferry Building),10/28/2013,29
Harry Bridges Plaza (Ferry Building),6/5/2014,47
Harry Bridges Plaza (Ferry Building),8/28/2015,52
Harry Bridges Plaza (Ferry Building),6/29/2015,68
Harry Bridges Plaza (Ferry Building),2/20/2015,47
Harry Bridges Plaza (Ferry Building),9/2/2015,69
Harry Bridges Plaza (Ferry Building),12/10/2015,47
Harry Bridges Plaza (Ferry Building),12/15/2015,55
